NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,OCTO_RECORD_ID,ANC,REPORT_DAT,METHOD,location,LATITUDE
cluster 8,005800,property,-77.0308021853212,2018-03-17T16:52:33.000,theft/other,evening,136611,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397328,1300 - 1399 block of f street nw,2018-03-17T14:40:21.000,18043299,theft/other,18043299-01,2C,2018-03-17T21:23:04.000Z,others,"38.897352551739573,-77.030804478288715",38.8973447652886
cluster 8,005800,property,-77.0308016524484,,theft/other,evening,136474,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397328,1300 - 1399 block of pennsylvania avenue nw,2018-05-09T16:27:45.000,18074554,theft/other,18074554-01,2C,2018-05-09T21:23:38.000Z,others,"38.896118405730199,-77.030803945340352",38.8961106195281
cluster 8,005800,property,-77.0288543832191,2018-05-15T09:00:48.000,theft/other,day,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2018-05-14T20:00:52.000,18089041,theft/other,18089041-01,2C,2018-06-02T14:10:14.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,005800,property,-77.0275632562836,2018-01-13T15:00:34.000,theft f/auto,evening,136718,2,2,2018,property|theft f/auto,downtown,2D3,209,7,005800 1,precinct 129,397609,1100 - 1199 block of g street nw,2018-01-13T13:00:31.000,18006975,theft f/auto,18006975-01,2C,2018-01-13T20:30:38.000Z,others,"38.898317255946942,-77.027565548301482",38.8983094691806
cluster 8,005800,property,-77.0319777385228,2018-02-20T18:01:09.000,theft/other,evening,136542,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397226,500 - 599 block of 14th street nw,2018-02-20T17:56:35.000,18031781,theft/other,18031781-01,2C,2018-02-26T01:21:48.000Z,others,"38.896730658591935,-77.031980031818335",38.8967228723102
cluster 8,005800,property,-77.029626551764,2018-03-02T11:20:02.000,theft/other,day,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2018-03-02T11:19:22.000,18034654,theft/other,18034654-01,2C,2018-03-02T17:55:10.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.02809334899,2018-01-28T14:03:48.000,theft/other,evening,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397563,600 - 699 block of 12th street nw,2018-01-28T13:50:03.000,18015671,theft/other,18015671-01,2C,2018-01-28T20:03:41.000Z,others,"38.897830678005782,-77.028095641143224",38.8978228913574
cluster 8,010100,property,-77.0328093294496,2018-04-06T18:40:09.000,theft/other,day,136928,2,2,2018,property|theft/other,downtown,2D3,207,6,010100 1,precinct 129,397154,1400 - 1499 block of h street nw,2018-04-06T18:30:54.000,18055234,theft/other,18055234-01,2C,2018-04-07T13:19:04.000Z,others,"38.900207656211471,-77.032811623216446",38.9001998692596
cluster 8,005800,property,-77.0308021853212,2018-04-07T14:10:19.000,theft/other,day,136611,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397328,1300 - 1399 block of f street nw,2018-04-07T13:26:25.000,18055346,theft/other,18055346-01,2C,2018-04-07T18:52:10.000Z,others,"38.897352551739573,-77.030804478288715",38.8973447652886
cluster 8,010100,property,-77.0311031522281,2018-03-25T05:08:36.000,theft f/auto,midnight,136928,2,2,2018,property|theft f/auto,downtown,2D3,209,7,010100 1,precinct 129,397302,1306 - 1399 block of h street nw,2018-03-25T04:39:13.000,18047570,theft f/auto,18047570-01,2C,2018-03-25T09:24:10.000Z,others,"38.900208122985063,-77.03110544546368",38.9002003359694
